placement_token,flight_id,CPM,fill_rate,maxTime,averageRespFailTime,averageRespSuccTime,stdDevFailTime,stdDevSuccTime
b2c8b9b8b3540c731f4ee20a,3028,1.63,0.0306,2.0,0.53244547,0.57434592,0.18874453,0.18447521
b2c8b9b8b3540c731f4ee20a,3030,1.22,0.0814,2.0,0.55179198,0.38164997,0.28294802,0.19955464
b2c8b9b8b3540c731f4ee20a,3031,0.83,0.0596,2.0,0.52436876,0.25192904,0.27014356,0.00694815
b2c8b9b8b3540c731f4ee20a,3032,0.66,0.0436,2.0,0.53492332,0.25043821,0.27863049,0.27863049
b2c8b9b8b3540c731f4ee20a,4164,0.38,0.0924,2.0,0.40586372,0.40740752,0.2051433,0.1868147
b2c8b9b8b3540c731f4ee20a,4326,0.49,0.0513,2.0,0.51501529,0.47534773,0.1947921,0.20198659
b2c8b9b8b3540c731f4ee20a,3029,0.95,0.0347,2.0,0.56049647,0.60586162,0.25258747,0.19982112
b2c8b9b8b3540c731f4ee20a,4413,0.02,0.0188,2.0,0.6948036,0.70399666,0.18245531,0.0301908
b6889a967adb9607b2e9a563,4407,1.75,0.0677,2.0,0.67512925,0.7365697,0.23978656,0.13118584
b6889a967adb9607b2e9a563,3028,1.63,0.03,2.0,0.53510656,0.48679153,0.19095128,0.17826493
b6889a967adb9607b2e9a563,3345,1.3,0.03,2.0,0.53268544,0.51121357,0.19458164,0.1719237
b6889a967adb9607b2e9a563,3029,0.95,0.033,2.0,0.53119654,0.48026923,0.18854553,0.18721855
b6889a967adb9607b2e9a563,4653,0.11,0.0989,2.0,0.23237367,0.24816613,0.02455028,0.01311182
b6889a967adb9607b2e9a563,4326,0.49,0.0472,2.0,0.53688489,0.46387544,0.18732027,0.1646307
c507f4f3c092fd0ffdbdfa75,3029,0.95,0.4,2.0,0.71599162,0.72904205,0.00298619,0.00298619
c519557263b5b85e3cc5d4da,3028,1.63,0.0272,2.0,0.47063044,0.37785494,0.21694298,0.03893116
c519557263b5b85e3cc5d4da,3030,1.22,0.0807,2.0,0.50026941,0.24958491,0.27395283,0.27395283
c519557263b5b85e3cc5d4da,4326,0.49,0.0395,2.0,0.4617465,0.36605406,0.34215705,0.34215705
cbabbea7ed59aaa61c777c3c,3030,1.22,0.0383,2.0,0.54176414,0.25662494,0.27703944,0.27703944
cbabbea7ed59aaa61c777c3c,3032,0.66,0.0092,2.0,0.27811813,0.36736107,0.03358902,0.03358902
cd824234219b1f1002aa8ae9,3028,1.63,0.0174,2.0,0.59654053,0.72218108,0.17329971,0.17329971
cd824234219b1f1002aa8ae9,4326,0.49,0.0336,2.0,0.519114,0.71367478,0.1859715,0.1859715
cd824234219b1f1002aa8ae9,3029,0.95,0.0307,2.0,0.51604483,0.48560468,0.18449379,0.16645265
cecf70589440357d1b1bdb28,3028,1.63,0.0297,2.0,0.5138257,0.60674564,0.20287777,0.17284615
cecf70589440357d1b1bdb28,4203,0.97,0.3286,2.0,0.17650137,0.32281995,0.03808458,0.03808458
cecf70589440357d1b1bdb28,3034,0.72,0.2291,2.0,0.01228701,0.00951598,0.00682354,0.00105695
cecf70589440357d1b1bdb28,4050,0.58,0.1118,2.0,0.52916779,0.59773274,0.21016951,0.17809409
cecf70589440357d1b1bdb28,3031,0.83,0.0328,2.0,0.43530244,0.56494451,0.21942541,0.04015714
cecf70589440357d1b1bdb28,3029,0.95,0.0369,2.0,0.52809697,0.45901745,0.20050219,0.18078884
cecf70589440357d1b1bdb28,4326,0.49,0.036,2.0,0.54432976,0.46820194,0.19871906,0.14513816
d689029a12ce5fad7c461743,3028,1.63,0.0421,2.0,0.456767,0.71592999,0.17062037,0.17062037
d689029a12ce5fad7c461743,3029,0.95,0.0511,2.0,0.40361396,0.40997601,0.15417462,0.15417462
d689029a12ce5fad7c461743,4164,0.38,0.3933,2.0,0.66617656,0.33354863,0.03085594,0.31450972
d689029a12ce5fad7c461743,4326,0.49,0.0511,2.0,0.48505096,0.71527314,0.20659079,0.20659079
dc679075dfe44238932d92fb,3028,1.63,0.0171,2.0,0.7161146,0.72487211,0.00897634,0.00897634
dc679075dfe44238932d92fb,3029,0.95,0.0211,2.0,0.71144819,0.47165704,0.19339769,0.19339769
e0569b9cd2b0c54ca6da10e2,3287,1.05,0.087,2.0,0.63044924,0.40957713,0.1699242,0.1699242
e28a11f8d9784cacd3014695,3030,1.22,0.0276,2.0,0.41110041,0.22877693,0.1965147,0.1965147
e28a11f8d9784cacd3014695,3029,0.95,0.0265,2.0,0.60196252,0.37397504,0.18411207,0.18411207
e28a11f8d9784cacd3014695,4326,0.49,0.0335,2.0,0.48420401,0.32108498,0.18399842,0.18399842
e47cb17b4ccc2c9dc2dd8e0e,3351,1.07,0.1252,2.0,0.58148168,0.540205,0.17676568,0.21955782
e47cb17b4ccc2c9dc2dd8e0e,4326,0.49,0.0625,2.0,0.60145654,0.37776995,0.20326183,0.20326183
eac45c130775b738ee084c09,3028,1.63,0.0389,2.0,0.55290059,0.62811565,0.18173375,0.1958564
eac45c130775b738ee084c09,3354,1.12,0.3829,2.0,0.48788787,0.6694812,0.18188323,0.15627811
eac45c130775b738ee084c09,3030,1.22,0.0583,2.0,0.48706535,0.62726307,0.27057204,0.27057204
eac45c130775b738ee084c09,4200,0.41,0.0928,2.0,0.05706712,0.07567561,0.0322851,0.04419508
eac45c130775b738ee084c09,3998,0.67,0.0814,2.0,0.42412169,0.53286997,0.19880374,0.20456539
eac45c130775b738ee084c09,3029,0.95,0.0358,2.0,0.52966045,0.82817817,0.21191412,0.21191412
fa5d1328dacefebb58319274,3028,1.63,0.0276,2.0,0.54646247,0.52101056,0.19618431,0.1836961
fa5d1328dacefebb58319274,3029,0.95,0.0336,2.0,0.55671761,0.52164698,0.20376826,0.17855566
fa5d1328dacefebb58319274,3034,0.72,0.0705,2.0,0.00983257,0.01034585,0.00271667,0.00352981
fa5d1328dacefebb58319274,3031,0.83,0.0273,2.0,0.40470692,0.40669107,0.19840927,0.23965753
fa5d1328dacefebb58319274,4326,0.49,0.0311,2.0,0.53560521,0.35283537,0.20424602,0.08086163
fa5d1328dacefebb58319274,3032,0.66,0.0186,2.0,0.39908347,0.42506798,0.20250259,0.14192968
fa5d1328dacefebb58319274,4164,0.38,0.0362,2.0,0.40378379,0.74585986,0.20527183,0.20527183
